"","DGUID","ALT_GEO_CODE","GEO_LEVEL","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","Language","C1_COUNT_TOTAL","C10_RATE_TOTAL","Languages"
"648","2021S051235300364",35300364,"Dissemination area",0,835,"Tie (Hover to See Languages)",5,1,"Arabic//Tigrigna//Russian//German//Portuguese"
"649","2021S051235300367",35300367,"Dissemination area",0,847,"Tie (Hover to See Languages)",10,2.1,"Vietnamese//Serbo-Croatian//Bosnian//Nepali"
"650","2021S051235300368",35300368,"Dissemination area",0,829,"Tie (Hover to See Languages)",10,3,"Bilen//Arabic//Mandarin"
"651","2021S051235300374",35300374,"Dissemination area",0,900,"Tie (Hover to See Languages)",25,2.3,"Serbo-Croatian//Serbian"
"652","2021S051235300378",35300378,"Dissemination area",0,969,"Tie (Hover to See Languages)",10,1.7,"Portuguese//Spanish"
"653","2021S051235300381",35300381,"Dissemination area",0,835,"Tie (Hover to See Languages)",25,2.2,"Arabic//Mandarin"
"654","2021S051235300382",35300382,"Dissemination area",0,938,"Tie (Hover to See Languages)",10,2.1,"Bengali//Spanish"
"655","2021S051235300384",35300384,"Dissemination area",0,865,"Tie (Hover to See Languages)",5,1.4,"Tagalog (Pilipino, Filipino)//Spanish"
"656","2021S051235300385",35300385,"Dissemination area",0,829,"Tie (Hover to See Languages)",15,2.5,"Bilen//Tigrigna"
"657","2021S051235300386",35300386,"Dissemination area",0,900,"Tie (Hover to See Languages)",10,2.1,"Serbo-Croatian//Serbian//Spanish"
"658","2021S051235300395",35300395,"Dissemination area",10,940,"Tie (Hover to See Languages)",5,1.2,"Hindi//Spanish//Burmese"
"659","2021S051235300397",35300397,"Dissemination area",10,847,"Tie (Hover to See Languages)",10,2.1,"Vietnamese//Malayalam//Serbo-Croatian//Serbian//Mandarin"
"660","2021S051235300398",35300398,"Dissemination area",0,835,"Tie (Hover to See Languages)",5,1.2,"Arabic//Serbo-Croatian//Serbian//Portuguese"
"661","2021S051235300400",35300400,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,1.3,"Serbo-Croatian//Bosnian//Romanian"
"662","2021S051235300402",35300402,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,0.8,"Serbo-Croatian//Bosnian//Portuguese"
"663","2021S051235300403",35300403,"Dissemination area",0,835,"Tie (Hover to See Languages)",10,1.6,"Arabic//Polish"
"664","2021S051235300408",35300408,"Dissemination area",0,917,"Tie (Hover to See Languages)",5,1,"German//Spanish"
"665","2021S051235300409",35300409,"Dissemination area",0,886,"Tie (Hover to See Languages)",15,1.9,"Albanian//Serbo-Croatian//Ukrainian"
"666","2021S051235300410",35300410,"Dissemination area",0,917,"Tie (Hover to See Languages)",10,1.6,"German//Romanian"
"667","2021S051235300414",35300414,"Dissemination area",0,835,"Tie (Hover to See Languages)",10,2.2,"Arabic//Serbo-Croatian//Serbian"
"668","2021S051235300416",35300416,"Dissemination area",0,900,"Tie (Hover to See Languages)",10,3.1,"Serbo-Croatian//Serbian"
"669","2021S051235300432",35300432,"Dissemination area",0,865,"Tie (Hover to See Languages)",10,1.9,"Tagalog (Pilipino, Filipino)//Telugu//Gujarati"
"670","2021S051235300438",35300438,"Dissemination area",10,949,"Tie (Hover to See Languages)",15,1,"Punjabi (Panjabi)//Urdu"
"671","2021S051235300440",35300440,"Dissemination area",0,843,"Tie (Hover to See Languages)",20,3.2,"Tigrigna//Punjabi (Panjabi)"
"672","2021S051235300445",35300445,"Dissemination area",0,835,"Tie (Hover to See Languages)",10,2.2,"Arabic//Romanian"
"673","2021S051235300449",35300449,"Dissemination area",0,900,"Tie (Hover to See Languages)",35,6.1,"Serbo-Croatian//Serbian"
"674","2021S051235300451",35300451,"Dissemination area",0,900,"Tie (Hover to See Languages)",15,3,"Serbo-Croatian//Serbian"
"675","2021S051235300453",35300453,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,1,"Serbo-Croatian//Croatian"
"676","2021S051235300462",35300462,"Dissemination area",0,897,"Tie (Hover to See Languages)",10,1,"Polish//Mandarin"
"677","2021S051235300463",35300463,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,1.1,"Polish//Serbo-Croatian//Serbian//German//Romanian//Spanish"
"678","2021S051235300472",35300472,"Dissemination area",0,878,"Tie (Hover to See Languages)",10,2.3,"Malayalam//Portuguese"
"679","2021S051235300473",35300473,"Dissemination area",0,940,"Tie (Hover to See Languages)",35,3.3,"Hindi//Punjabi (Panjabi)"
"680","2021S051235300476",35300476,"Dissemination area",0,969,"Tie (Hover to See Languages)",10,1.9,"Portuguese//Turkish"
"681","2021S051235300492",35300492,"Dissemination area",0,847,"Tie (Hover to See Languages)",5,0.9,"Vietnamese//Portuguese"
"682","2021S051235300496",35300496,"Dissemination area",0,878,"Tie (Hover to See Languages)",5,1,"Malayalam//Lao"
"683","2021S051235300500",35300500,"Dissemination area",10,939,"Tie (Hover to See Languages)",30,1.7,"Gujarati//Portuguese"
"684","2021S051235300502",35300502,"Dissemination area",0,939,"Tie (Hover to See Languages)",15,2.3,"Gujarati//Portuguese//Spanish"
"685","2021S051235300510",35300510,"Dissemination area",0,969,"Tie (Hover to See Languages)",15,2.1,"Portuguese//Spanish"
"686","2021S051235300515",35300515,"Dissemination area",0,959,"Tie (Hover to See Languages)",15,2.5,"Pashto//Portuguese"
"687","2021S051235300516",35300516,"Dissemination area",0,939,"Tie (Hover to See Languages)",15,1.9,"Gujarati//Punjabi (Panjabi)"
"688","2021S051235300525",35300525,"Dissemination area",0,897,"Tie (Hover to See Languages)",5,0.6,"Polish//Gujarati//Pashto//Portuguese//American Sign Language"
"689","2021S051235300540",35300540,"Dissemination area",0,949,"Tie (Hover to See Languages)",10,2.3,"Punjabi (Panjabi)//Spanish"
"690","2021S051235300544",35300544,"Dissemination area",0,939,"Tie (Hover to See Languages)",5,0.8,"Gujarati//Punjabi (Panjabi)//Portuguese//Spanish"
"691","2021S051235300551",35300551,"Dissemination area",0,865,"Tie (Hover to See Languages)",10,2.1,"Tagalog (Pilipino, Filipino)//Spanish"
"692","2021S051235300558",35300558,"Dissemination area",0,953,"Tie (Hover to See Languages)",15,2.1,"Urdu//Portuguese"
"693","2021S051235300560",35300560,"Dissemination area",0,847,"Tie (Hover to See Languages)",5,1.3,"Vietnamese//Spanish"
"694","2021S051235300565",35300565,"Dissemination area",0,900,"Tie (Hover to See Languages)",15,1.9,"Serbo-Croatian//Portuguese"
"695","2021S051235300574",35300574,"Dissemination area",0,887,"Tie (Hover to See Languages)",10,1.4,"Armenian//Polish//Romanian"
"696","2021S051235300575",35300575,"Dissemination area",0,900,"Tie (Hover to See Languages)",5,1.4,"Serbo-Croatian//Serbian"
"697","2021S051235300579",35300579,"Dissemination area",0,898,"Tie (Hover to See Languages)",10,1.8,"Russian//Japanese//Mandarin"
"698","2021S051235300580",35300580,"Dissemination area",0,897,"Tie (Hover to See Languages)",10,1.5,"Polish//Serbo-Croatian//Urdu"
"699","2021S051235300587",35300587,"Dissemination area",9,971,"Tie (Hover to See Languages)",10,3.9,"Spanish//Mandarin"
"700","2021S051235300589",35300589,"Dissemination area",0,835,"Tie (Hover to See Languages)",35,3.6,"Arabic//Serbo-Croatian"
"701","2021S051235300590",35300590,"Dissemination area",0,900,"Tie (Hover to See Languages)",10,2.4,"Serbo-Croatian//Serbian//Mandarin"
"702","2021S051235300591",35300591,"Dissemination area",0,898,"Tie (Hover to See Languages)",10,0.8,"Russian//Punjabi (Panjabi)//Spanish//Korean//Mandarin"
"703","2021S051235300628",35300628,"Dissemination area",0,895,"Tie (Hover to See Languages)",5,1.2,"Czech//Portuguese//Spanish"
"704","2021S051235300629",35300629,"Dissemination area",0,835,"Tie (Hover to See Languages)",5,1.3,"Arabic//Portuguese"
"705","2021S051235300631",35300631,"Dissemination area",0,835,"Tie (Hover to See Languages)",5,1,"Arabic//Portuguese"
"706","2021S051235300641",35300641,"Dissemination area",0,953,"Tie (Hover to See Languages)",5,0.8,"Urdu//Portuguese"
"707","2021S051235300642",35300642,"Dissemination area",0,969,"Tie (Hover to See Languages)",10,1.6,"Portuguese//Spanish"
